id_ibge,nome,estado,indice_risco_seca,ndvi_2023_norm,precip_media_mm,custo_mil,populacao,fonte
2111300,Sao Luis,MA,0.28,0.71,1800,980,1100000,MODIS NDVI 2023 / INMET 2023
2105302,Imperatriz,MA,0.42,0.6,1400,320,260000,MODIS NDVI 2023 / INMET 2023
2109502,Presidente Dutra,MA,0.71,0.38,900,180,58000,MODIS NDVI 2023 / INMET 2023
2115200,Tuntum,MA,0.78,0.31,780,140,35000,MODIS NDVI 2023 / INMET 2023
1721000,Palmas,TO,0.35,0.66,1600,450,320000,MODIS NDVI 2023 / INMET 2023
1713700,Gurupi,TO,0.47,0.55,1200,190,90000,MODIS NDVI 2023 / INMET 2023
1707405,Dianopolis,TO,0.69,0.4,950,150,22000,MODIS NDVI 2023 / INMET 2023
1716109,Natividade,TO,0.82,0.26,700,120,10000,MODIS NDVI 2023 / INMET 2023
2211001,Teresina,PI,0.31,0.69,1700,520,880000,MODIS NDVI 2023 / INMET 2023
2207702,Parnaiba,PI,0.44,0.57,1300,210,155000,MODIS NDVI 2023 / INMET 2023
2209153,Picos,PI,0.73,0.35,820,160,78000,MODIS NDVI 2023 / INMET 2023
2204550,Corrente,PI,0.87,0.22,650,130,26000,MODIS NDVI 2023 / INMET 2023
2927408,Salvador,BA,0.22,0.77,1900,1200,2900000,MODIS NDVI 2023 / INMET 2023
2910800,Feira de Santana,BA,0.38,0.63,1400,410,640000,MODIS NDVI 2023 / INMET 2023
2903201,Barreiras,BA,0.61,0.44,1050,280,160000,MODIS NDVI 2023 / INMET 2023
2917334,Luis Eduardo Magalhaes,BA,0.74,0.34,830,220,75000,MODIS NDVI 2023 / INMET 2023
2928703,Sao Desiderio,BA,0.83,0.25,690,170,28000,MODIS NDVI 2023 / INMET 2023
2919553,Palmas de Monte Alto,BA,0.91,0.17,580,145,16000,MODIS NDVI 2023 / INMET 2023
